id,device_id,name,description,value,min,max
3_degrees_audio_hue_stereo_multi_fx_cc_0,3_degrees_audio_hue_stereo_multi_fx,Parameter 1,Controls the first effect parameter,1,0,127
3_degrees_audio_hue_stereo_multi_fx_cc_1,3_degrees_audio_hue_stereo_multi_fx,Parameter 2,Controls the second effect parameter,2,0,127
3_degrees_audio_hue_stereo_multi_fx_cc_2,3_degrees_audio_hue_stereo_multi_fx,Parameter 3,Controls the third effect parameter,3,0,127
3_degrees_audio_hue_stereo_multi_fx_cc_3,3_degrees_audio_hue_stereo_multi_fx,Parameter 4,Controls the fourth effect parameter,4,0,127
3_degrees_audio_hue_stereo_multi_fx_cc_4,3_degrees_audio_hue_stereo_multi_fx,Parameter 5,Controls the fifth effect parameter,5,0,127
3_degrees_audio_hue_stereo_multi_fx_cc_5,3_degrees_audio_hue_stereo_multi_fx,Parameter 6,Controls the sixth effect parameter,6,0,127
3_degrees_audio_hue_stereo_multi_fx_cc_6,3_degrees_audio_hue_stereo_multi_fx,Parameter 7,Controls the seventh effect parameter,7,0,127
3_degrees_audio_hue_stereo_multi_fx_cc_7,3_degrees_audio_hue_stereo_multi_fx,Parameter 8,Controls the eighth effect parameter,8,0,127
3_degrees_audio_hue_stereo_multi_fx_cc_8,3_degrees_audio_hue_stereo_multi_fx,Parameter 9,Controls the ninth effect parameter,9,0,127
3_degrees_audio_hue_stereo_multi_fx_cc_9,3_degrees_audio_hue_stereo_multi_fx,Parameter 10,Controls the tenth effect parameter,10,0,127
3_degrees_audio_hue_stereo_multi_fx_cc_10,3_degrees_audio_hue_stereo_multi_fx,Parameter 11,Controls the eleventh effect parameter,11,0,127
3_degrees_audio_hue_stereo_multi_fx_cc_11,3_degrees_audio_hue_stereo_multi_fx,Parameter 12,Controls the twelfth effect parameter,12,0,127
3_degrees_audio_hue_stereo_multi_fx_cc_12,3_degrees_audio_hue_stereo_multi_fx,Parameter 13,Controls the thirteenth effect parameter,13,0,127
3_degrees_audio_hue_stereo_multi_fx_cc_13,3_degrees_audio_hue_stereo_multi_fx,Parameter 14,Controls the fourteenth effect parameter,14,0,127
3_degrees_audio_hue_stereo_multi_fx_cc_14,3_degrees_audio_hue_stereo_multi_fx,Parameter 15,Controls the fifteenth effect parameter,15,0,127
