id,device_id,name,description,value,min,max
mfb_tanzbar_lite_pc_0,mfb_tanzbar_lite,Program Change,,0,0,127
meris_enzo_pc_0,meris_enzo,Program Change,,0,0,127
meris_polymoon_pc_0,meris_polymoon,Program Change,,0,0,127
meris_hedra_pc_0,meris_hedra,Program Change,,0,0,127
meris_mercury_7_pc_0,meris_mercury_7,Program Change,,0,0,127
meris_lvx_pc_0,meris_lvx,Program Change,,0,0,127
meris_enzox_pc_0,meris_enzox,Program Change,,0,0,127
meris_ottobit_jr_pc_0,meris_ottobit_jr,Program Change,,0,0,127
meris_mercury_x_pc_0,meris_mercury_x,Program Change,PC 1-99 selects presets,0,0,127
elektron_model:samples_pc_0,elektron_model:samples,Program Change,,0,0,127
elektron_model:cycles_pc_0,elektron_model:cycles,Program Change,,0,0,127
elektron_analog_drive_pc_0,elektron_analog_drive,Program Change,,0,0,127
elektron_digitone_pc_0,elektron_digitone,Program Change,,0,0,127
elektron_analog_rytm_mkii_pc_0,elektron_analog_rytm_mkii,Program Change,,0,0,127
elektron_analog_heat_mkii_pc_0,elektron_analog_heat_mkii,Program Change,,0,0,127
elektron_digitone_keys_pc_0,elektron_digitone_keys,Program Change,,0,0,127
elektron_digitakt_pc_0,elektron_digitakt,Program Change,,0,0,127
elektron_octatrack_mkii_pc_0,elektron_octatrack_mkii,Program Change,,0,0,127
elektron_analog_four_mkii_pc_0,elektron_analog_four_mkii,Program Change,,0,0,127
atomic_amplifire_3_pc_0,atomic_amplifire_3,Program Change,,0,0,127
atomic_amplifire_12_pc_0,atomic_amplifire_12,Program Change,,0,0,127
atomic_amplifire_pc_0,atomic_amplifire,Program Change,"Activates the preset at the OC value MIDI PROGRAM CHANGES are mapped one-to-one, meaning that AMPLIFIRE will switch to the same preset as the incoming MIDI program change message . Likewise, if you change presets in AMPLIFIRE using the ENCODER or FOOTSWITCH, AMPLIFIRE will transmit the same preset number in the outgoing MIDI program change.",0,0,127
atomic_amplifire_6_pc_0,atomic_amplifire_6,Program Change,,0,0,127
valeton_gp5_pc_0,valeton_gp5,Program Change,,0,0,127
idoru_p1_pc_0,idoru_p1,Program Change,"
",0,0,127
avid_eleven_rack_pc_0,avid_eleven_rack,Program Change,,0,0,127
dr_scientist_the_atmosphere_pc_0,dr_scientist_the_atmosphere,Program Change,,0,0,127
dr_scientist_dusk_pc_0,dr_scientist_dusk,,"PC# 0 = Bypass
PC# 1 – 4 = Internal Preset # 1 – 4
PC# 5 – 99 = Presets saved with MIDI CC #55


",,0,127
3_degrees_audio_hue_stereo_multi_effect_pedal_pc_0,3_degrees_audio_hue_stereo_multi_effect_pedal,Program Change,,0,0,127
swindler_effects_red_mountain_tremolo_v2_pc_0,swindler_effects_red_mountain_tremolo_v2,Program Change,,0,0,127
swindler_effects_the_gulf_chorus_v2_pc_0,swindler_effects_the_gulf_chorus_v2,Program Change,,0,0,127
noiseengineering_batverb_pc_0,noiseengineering_batverb,Program Change,,0,0,127
nord_lead_4r_pc_0,nord_lead_4r,Program Change,,0,0,127
nord_electro_6_pc_0,nord_electro_6,Program Change,,0,0,127
nord_stage_2_pc_0,nord_stage_2,Program Change,,0,0,127
nord_electro_3_hp_pc_0,nord_electro_3_hp,Program Change,,0,0,127
nord_electro_2_pc_0,nord_electro_2,Program Change,,0,0,127
nord_electro_3_pc_0,nord_electro_3,Program Change,,0,0,127
nord_electro_5hp_73_pc_0,nord_electro_5hp_73,Program Change,,0,0,127
nord_wave_2_pc_0,nord_wave_2,Program Change,,0,0,127
nord_drum_2_pc_0,nord_drum_2,Program Change,,0,0,127
nord_rack_3_pc_0,nord_rack_3,Program Change,,0,0,127
nord_piano_2_ha88_pc_0,nord_piano_2_ha88,Program Change,,0,0,127
nord_lead_pc_0,nord_lead,Program Change,,0,0,127
nord_c2d_pc_0,nord_c2d,Program Change,,0,0,127
