id,brand,device_name,midi_thru,midi_clock,phantom_power
1010_music_blackbox,1010_music,blackbox,false,false,None
3_degrees_audio_hue_stereo_multi_fx,3 Degrees Audio,hue_stereo_multi_fx,false,false,None
3_degrees_audio_hue_stereo_multi_effect_pedal,3 Degrees Audio,Hue Stereo Multi Effect Pedal,false,false,None
art_sgx_2000/nitro/t2,art,sgx_2000/nitro/t2,false,false,None
asm_hydrasynth,asm,hydrasynth,false,false,None
abildgard_droid-3,abildgard,droid-3,false,false,None
access_virus_a,Access,virus_a,false,false,None
access_virus_ti,Access,Virus TI,false,false,None
adrenalinn_iii,Adrenalinn,III,false,false,None
aerospace_audio_atmosphere_v2,Aerospace Audio,Atmosphere v2,false,false,None
alesis_q20,alesis,q20,false,false,None
alexander_fever_pitch,Alexander,Fever Pitch,false,false,None
alexander_quadrant,Alexander,Quadrant,false,false,None
alexander_space_race,Alexander,Space Race,false,false,None
alexander_superball,Alexander,Superball,None,false,None
alexander_marshmallow,Alexander,Marshmallow,false,false,None
alexander_f.13_neo,Alexander,F.13 Neo,false,false,None
alexander_wavelength,Alexander,Wavelength,false,false,None
alexander_syntax_error,Alexander,Syntax Error,false,false,None
alexander_colour_theory_,Alexander,Colour Theory ,false,false,None
alexander_super_neo-matic,Alexander,Super Neo-Matic,false,false,None
alexander_defender_neo,Alexander,Defender Neo,false,false,None
alexander_quadrant_audio_mirror,Alexander,Quadrant Audio Mirror,false,false,None
alexander_super_radical_delay,Alexander,Super Radical Delay,false,false,None
alexander_oblivion_vintage_delay,Alexander,Oblivion Vintage Delay,false,false,None
alexander_radical_delay_dx,Alexander,Radical Delay DX,false,false,None
alexander_sky_5000,Alexander,SKY 5000,false,false,None
arturia_matrixbrute,Arturia,MatrixBrute,false,false,None
arturia_microfreak,Arturia,MicroFreak,false,false,None
arturia_minifreak,Arturia,MiniFreak,false,false,None
arturia_polybrute,Arturia,polybrute,false,false,None
atomic_amplifire_12,Atomic,Amplifire 12,false,false,None
atomic_amplifire_3,Atomic,Amplifire 3,false,false,None
atomic_amplifire_6,Atomic,Amplifire 6,false,false,None
atomic_amplifire,Atomic,Amplifire,true,true,true
audiothingies_doctor_a,audiothingies,doctor_a,false,false,None
audiothingies_micromonsta,audiothingies,micromonsta,false,false,None
avid_eleven_rack,AVID,Eleven Rack,false,false,None
beetronics_seabee_harmochorus,Beetronics,Seabee Harmochorus,false,false,None
behringer_deepmind_12,Behringer,Deepmind 12,false,false,None
behringer_deepmind_12d,Behringer,Deepmind 12D,false,false,None
behringer_neutron,Behringer,neutron,false,false,None
behringer_pro-800,Behringer,Pro-800,false,false,None
behringer_td-3-mo,Behringer,td-3-mo,false,false,None
behringer_ac112,Behringer,ac112,false,false,None
behringer_wing,Behringer,wing,false,false,None
behringer_x-air,Behringer,X-Air,false,false,None
behringer_x32,Behringer,x32,false,false,None
behringer_deepmind_6,Behringer,Deepmind 6,false,false,None
black_corporation_deckard's_dream_mk2,black_corporation,deckard's_dream_mk2,false,false,None
black_corporation_deckard's_dream,black_corporation,deckard's_dream,false,false,None
blackstar_amped_1,blackstar,amped_1,false,false,None
blackstar_amped_2,blackstar,amped_2,false,false,None
blackstar_amped_3,blackstar,amped_3,false,false,None
blackstar_silverlinedeluxe,blackstar,silverlinedeluxe,false,false,None
bluguitar_amp1,BluGuitar,amp1,false,false,None
bluguitar_amp1_(mercury_&_iridium_edition),BluGuitar,Amp1 (Mercury & Iridium Edition),None,false,None
bondi_effects_art_van_delay,Bondi Effects,Art Van Delay,false,false,None
boss_dd-200,Boss,dd-200,false,false,None
boss_dd-500,Boss,DD-500,false,false,None
boss_dm-101,Boss,DM-101,false,false,None
boss_eq-200,Boss,eq-200,false,false,None
boss_gt-pro,Boss,gt-pro,false,false,None
boss_ir-200,Boss,ir-200,false,false,None
boss_katana,Boss,Katana,false,false,None
boss_md-200,Boss,md-200,false,false,None
boss_md-500,Boss,MD-500,false,false,None
boss_od-200,Boss,OD-200,false,false,None
boss_rc-10r,Boss,RC-10R,false,false,None
boss_re-202,Boss,RE-202,false,false,None
boss_rv-500,Boss,RV-500,false,false,None
boss_sde-3000d/evh,Boss,sde-3000d/evh,false,false,None
boss_katana_artist,Boss,Katana Artist,false,false,None
boss_slicer_sl-2,Boss,Slicer SL-2,false,false,None
boss_gt1000_core,Boss,GT1000 Core,false,true,None
boss_katana_head,Boss,Katana Head,false,false,None
chaos_audio_stratus,Chaos Audio,Stratus,false,false,None
chase_bliss_cxm1978_vintage_studioverb,chase_bliss,cxm1978_vintage_studioverb,false,false,None
chase_bliss_clean,chase_bliss,clean,false,false,None
chase_bliss_preampmkii,chase_bliss,preampmkii,false,false,None
conductive_labs_ndlr,conductive_labs,ndlr,false,false,None
darkglass_electronics_microtubes_infinity,Darkglass Electronics,Microtubes Infinity,false,false,None
dave_smith_instruments_evolver,Dave Smith Instruments,Evolver,false,false,None
dave_smith_instruments_ob-6,Dave Smith Instruments,ob-6,false,false,None
dave_smith_instruments_prophet_'08,Dave Smith Instruments,prophet_'08,false,false,None
dave_smith_instruments_prophet12,Dave Smith Instruments,prophet12,false,false,None
dave_smith_instruments_prophet_rev2,Dave Smith Instruments,prophet_rev2,false,false,None
dave_smith_instruments_prophet_x_(prophet_xl),Dave Smith Instruments,prophet_x_(prophet_xl),false,false,None
dawner_prince_boonar_tube_deluxe,dawner_prince,boonar_tube_deluxe,false,false,None
decibel_eleven_loop_expander,Decibel Eleven,Loop Expander,false,false,None
diezel_vhx,diezel,vhx,false,false,None
dimehead_nam,Dimehead,NAM,false,false,None
disaster_area_dpc-8ez_gen2,Disaster Area,DPC-8EZ Gen2,false,false,None
disaster_area_dpc_micro,Disaster Area,DPC Micro,true,false,None
dr_scientist_dusk,Dr Scientist,Dusk,false,false,None
dr_scientist_the_atmosphere,Dr Scientist,The Atmosphere,false,false,None
dreadbox_medusa,Dreadbox,Medusa,false,false,None
dreadbox_nymphes,Dreadbox,nymphes,false,false,None
dreadbox_typhon,Dreadbox,Typhon,false,false,None
electro_harmonix_45000,Electro Harmonix,45000,false,false,None
electro_harmonix_95000,Electro Harmonix,95000,false,false,None
electro_harmonix_modrex,Electro Harmonix,ModRex,false,false,None
electro_harmonix_8-step_program,Electro Harmonix,8-Step Program,false,false,None
electro_harmonix_hog_2,Electro Harmonix,hog_2,false,false,None
electro_harmonix_holiest_grail,Electro Harmonix,holiest_grail,false,false,None
electro_harmonix_v256_vocoder,Electro Harmonix,v256_vocoder,false,false,None
electro_harmonix_hog2,Electro Harmonix,HOG2,false,false,None
electronic_audio_experiments_sending_v2,Electronic Audio Experiments,Sending v2,false,false,None
electronic_audio_experiments_sending_v2_(firmware_2.0),Electronic Audio Experiments,Sending v2 (Firmware 2.0),false,false,None
elektron_analog_four_mkii,Elektron,Analog Four MKII,false,false,None
elektron_analog_four,Elektron,analog_four,false,false,None
elektron_analog_heat_+fx,Elektron,analog_heat_+fx,false,false,None
elektron_analog_heat,Elektron,analog_heat,false,false,None
elektron_analog_rytm_mkii,Elektron,Analog Rytm MKII,false,false,None
elektron_digitakt_ii,Elektron,digitakt_ii,false,false,None
elektron_digitakt,Elektron,Digitakt,false,false,None
elektron_digitone_ii,Elektron,digitone_ii,false,false,None
elektron_digitone,Elektron,Digitone,false,false,None
elektron_machinedrum,Elektron,machinedrum,false,false,None
elektron_model_cycles,Elektron,model_cycles,false,false,None
elektron_monomachine,Elektron,monomachine,false,false,None
elektron_octatrack,Elektron,octatrack,false,false,None
elektron_syntakt,Elektron,syntakt,false,false,None
elektron_model:samples,Elektron,Model:Samples,false,false,None
elektron_model:cycles,Elektron,Model:Cycles,false,false,None
elektron_analog_drive,Elektron,Analog Drive,false,false,None
elektron_analog_heat_mkii,Elektron,Analog Heat MKII,false,false,None
elektron_digitone_keys,Elektron,Digitone Keys,false,false,None
elektron_octatrack_mkii,Elektron,Octatrack MKII,false,false,None
empress_echo_system,Empress,Echo System,false,true,None
empress_reverb,Empress,Reverb,false,true,None
empress_zoia,Empress,ZOIA,false,false,None
empress_phaser,Empress,Phaser,false,true,None
empress_tremolo2,Empress,Tremolo2,false,false,None
engl_e658,ENGL,e658,false,false,None
engl_savage_60_mark_ii_e630ii,ENGL,Savage 60 Mark II E630II,false,false,None
engl_savage_120_mark_ii_e610ii,ENGL,Savage 120 Mark II E610II,false,false,None
engl_invader_ii_e642ii,ENGL,Invader II E642II,false,false,None
engl_steve_morse_signature_e662,ENGL,Steve Morse Signature E662,false,false,None
engl_steve_morse_signature_e663,ENGL,Steve Morse Signature E663,false,false,None
engl_steve_morse_signature_e661,ENGL,Steve Morse Signature E661,false,false,None
engl_steve_morse_signature_e660,ENGL,Steve Morse Signature E660,false,false,None
engl_steve_morse_signature_e656,ENGL,Steve Morse Signature E656,false,false,None
engl_steve_morse_signature_e657,ENGL,Steve Morse Signature E657,false,false,None
engl_steve_morse_signature_e665,ENGL,Steve Morse Signature E665,false,false,None
engl_steve_morse_signature_e664,ENGL,Steve Morse Signature E664,false,false,None
engl_steve_morse_signature_e667,ENGL,Steve Morse Signature E667,false,false,None
engl_steve_morse_signature_e666,ENGL,Steve Morse Signature E666,false,false,None
engl_steve_morse_signature_e669,ENGL,Steve Morse Signature E669,false,false,None
engl_steve_morse_signature_e668,ENGL,Steve Morse Signature E668,false,false,None
engl_steve_morse_signature_e658,ENGL,Steve Morse Signature E658,false,false,None
engl_steve_morse_signature_e659,ENGL,Steve Morse Signature E659,false,false,None
engl_steve_morse_signature_e670,ENGL,Steve Morse Signature E670,false,false,None
engl_steve_morse_signature_e671,ENGL,Steve Morse Signature E671,false,false,None
ensoniq_asr-x_pro,ensoniq,asr-x_pro,false,false,None
erica_synths_lxr-02,erica_synths,lxr-02,false,false,None
eventide_h9,Eventide,H9,true,true,None
eventide_knifedrop,Eventide,Knifedrop,false,false,None
eventide_rose,Eventide,Rose,false,false,None
eventide_blackhole,Eventide,Blackhole,false,false,None
eventide_tricerachorus,Eventide,Tricerachorus,false,false,None
eventide_ultratap,Eventide,Ultratap,false,false,None
expert_sleepers_fh-2,expert_sleepers,fh-2,false,false,None
flame_curves,flame,curves,false,false,None
flame_mäander,flame,mäander,false,false,None
fractal_audio_ax-8,fractal_audio,ax-8,false,false,None
fractal_audio_axe-fxii,fractal_audio,axe-fxii,false,false,None
fractal_audio_axe-fx_iii,fractal_audio,axe-fx_iii,false,false,None
fractal_audio_standard,fractal_audio,standard,false,false,None
fractal_audio_ultra,fractal_audio,ultra,false,false,None
fred's_lab_buzzzy!,fred's_lab,buzzzy!,false,false,None
gem_rp-x,gem,rp-x,false,false,None
gfi_system_duophony,GFI System,Duophony,false,false,None
gfi_system_enieqma,GFI System,Enieqma,false,false,None
gfi_system_specular_tempus,GFI System,Specular Tempus,false,true,None
gfi_system_synesthesia,GFI System,Synesthesia,true,true,None
gfi_system_solis_ventus,GFI System,Solis Ventus,true,true,None
gsmusic_e7,gsmusic,e7,false,false,None
generic_midi_device,generic,midi_device,false,false,None
gotharman_spazedrum_black,gotharman,spazedrum_black,false,false,None
hologram_microcosm,hologram,microcosm,false,false,None
ik_multimedia_tonex,IK Multimedia,ToneX,false,false,None
ik_multimedia_uno_synth_pro_x,IK Multimedia,uno_synth_pro_x,false,false,None
ik_multimedia_uno_drum,IK Multimedia,uno_drum,false,false,None
ik_multimedia_uno_synth,IK Multimedia,UNO Synth,false,false,None
ik_multimedia_x-series,IK Multimedia,x-series,false,false,None
idoru_p-1,Idoru,p-1,false,false,None
idoru_p1,Idoru,P1,false,false,None
intellijel_umidi,intellijel,umidi,false,false,None
jomox_airbase_99,jomox,airbase_99,false,false,None
korg_arp_2600_m,Korg,arp_2600_m,false,false,None
korg_electribe_er-1,Korg,electribe_er-1,false,false,None
korg_grandstage,Korg,grandstage,false,false,None
korg_ms2000,Korg,MS2000,false,false,None
korg_nts-1,Korg,nts-1,false,false,None
korg_opsix,Korg,opsix,false,false,None
korg_wavestate,Korg,wavestate,false,false,None
korg_micro_korg,Korg,micro_korg,false,false,None
korg_minilogue_xd,Korg,minilogue xd,false,false,None
korg_minilogue,Korg,minilogue,false,false,None
korg_monologue,Korg,monologue,false,false,None
korg_volca_bass,Korg,volca bass,false,false,None
korg_volca_beats,Korg,volca beats,false,false,None
korg_volca_drum,Korg,volca drum,false,false,None
korg_volca_fm,Korg,volca fm,false,false,None
korg_volca_keys,Korg,volca keys,false,false,None
korg_volca_kick,Korg,volca kick,false,false,None
korg_volca_nubass,Korg,volca nubass,false,false,None
korg_volca_sample,Korg,volca sample,false,false,None
korg_pa4x,Korg,pa4x,false,false,None
korg_microkorg_xl+,Korg,microKORG XL+,false,false,None
korg_microkorg,Korg,microKORG,false,false,None
korg_kaoss_pad_3,Korg,Kaoss Pad 3,false,false,None
korg_kaoss_pad_2,Korg,Kaoss Pad 2,false,false,None
kemper_profiler,Kemper,Profiler,true,true,None
kemper_profiler_player,Kemper,Profiler Player,false,true,None
kodamo_essencefm,kodamo,essencefm,false,false,None
kurzweil_k2661,kurzweil,k2661,false,false,None
lpzw_tram8,lpzw,tram8,false,false,None
lexicon_mx200,lexicon,mx200,false,false,None
line_6_hx_one,Line 6,HX One,false,false,None
line_6_hx_stomp,Line 6,HX Stomp,true,true,None
line_6_helix,Line 6,Helix,false,false,None
line_6_m5,Line 6,m5,false,false,None
line_6_m5_stompbox_modeler,Line 6,M5 Stompbox Modeler,false,false,None
line_6_m13_v2.0_sompbox_modeler,Line 6,M13 v2.0 Sompbox Modeler,false,false,None
line_6_dt25_112,Line 6,DT25 112,false,false,None
line_6_helix_lt,Line 6,Helix LT,false,false,None
line_6_pod_hd500x,Line 6,POD HD500X,false,false,None
line_6_dt25_head,Line 6,DT25 Head,false,false,None
line_6_pod_go,Line 6,POD GO,false,false,None
line_6_pod_hd_pro_x,Line 6,POD HD PRO X,false,false,None
line_6_helix_rack_and_control,Line 6,Helix Rack and Control,false,false,None
line_6_powercab_112_plus,Line 6,Powercab 112 Plus,false,false,None
line_6_powercab_plus,Line 6,Powercab Plus,false,false,None
line_6_helix_floor,Line 6,Helix Floor,true,true,None
line_6_hx_stomp_xl,Line 6,HX Stomp XL,true,true,None
line_6_hx_effects,Line 6,HX Effects,false,false,None
line_6_dl4_mkii,Line 6,DL4 MKII,true,true,None
line_6_powercab_212_plus,Line 6,Powercab 212 Plus,false,false,None
