name,device_count
sourceFile,21
databaseStats,3
sizes,4
MFB,1
Meris,8
Elektron,10
Atomic,4
EM Custom,1
valeton,1
Idoru,1
AVID,1
Dr Scientist,2
3 Degrees Audio,1
Swindler Effects,2
noiseengineering,1
Nord,36
Chase Bliss Audio,25
Fractal Audio Systems,5
WMD,1
Modor,1
Hughes & Kettner,2
DigiTech,3
Adrenalinn,1
Dreadbox,2
Alexander,16
EVH,11
Free The Tone,7
Disaster Area,3
Oscillator Devices,3
Darkglass Electronics,1
KSR Amplification,3
Seymour Duncan,1
TC Electronic,6
Kemper,2
Old Blood Noise Endeavors,3
Sheeran,2
Vongon,1
Two Notes Audio Engineering,6
Moog,13
Singular Sound,2
Suhr,3
Access,1
Sequential,6
Aerospace Audio,1
Freds Labs,1
OTO Machines,4
That Worship Sound,2
Studiologic,1
Boss,12
Flower Pedals,2
Electronic Audio Experiments,2
Sound Sculpture,1
Decibel Eleven,1
Behringer,6
Hologram Electronics,3
Gamechanger Audio,1
OPFXS,1
Red Panda,6
TastyChips,1
Melbourne Instruments,1
Mutable Instruments,1
Marshall,1
Empress,5
Bondi Effects,1
Jackson Audio,7
the montreal assembly,1
Kernom,3
Pigtronix,3
Morningstar Engineering,8
Novation,9
Beetronics,1
Arturia,3
Chaos Audio,1
IK Multimedia,2
G-LAB,4
Headrush,6
Neunaber,2
Kinotone,3
Laney,1
Jet Pedals,2
BluGuitar,1
Sunday Sounds,2
Teenage Engineering,1
Walrus Audio,11
TC Helicon,4
Peavey,1
Panda Audio,1
Hotone,2
Meeblip,2
GFI System,5
Blackstar Amplification,5
Dave Smith Instruments,1
ENGL,19
Neural DSP,2
toneking,1
JMK Music Pedals,1
Mooer,3
Ramble FX,1
Source Audio,10
Line 6,22
cornerstonemusicgear,1
Roland,19
Wampler Pedals,3
Make Noise Co.,1
Stone Deaf,2
Yamaha,4
Korg,17
Electro Harmonix,6
Positive Grid,3
Modal Electronics,10
Poly Effects,2
Synergy Amps,2
Waldorf,1
Dimehead,1
Eventide,6
RJM Music,3
Fender,1
Strymon,21
