Brand,Device,CC Count,NRPN Count,PC Count,Total Parameters,MIDI Thru,MIDI Clock,Phantom Power
1010_music,blackbox,0,0,0,0,No,No,None
3 Degrees Audio,hue_stereo_multi_fx,17,0,0,17,No,No,None
3 Degrees Audio,Hue Stereo Multi Effect Pedal,17,0,0,17,No,No,None
art,sgx_2000/nitro/t2,13,0,0,13,No,No,None
asm,hydrasynth,115,0,0,115,No,No,None
abildgard,droid-3,33,0,0,33,No,No,None
Access,virus_a,93,0,0,93,No,No,None
Access,Virus TI,131,0,0,131,No,No,None
Adrenalinn,III,10,0,0,10,No,No,None
Aerospace Audio,Atmosphere v2,60,0,0,60,No,No,None
alesis,q20,16,0,0,16,No,No,None
Alexander,Fever Pitch,44,0,0,44,No,No,None
Alexander,Quadrant,15,0,0,15,No,No,None
Alexander,Space Race,16,0,0,16,No,No,None
Alexander,Superball,43,0,0,43,Yes,No,None
Alexander,Marshmallow,22,0,0,22,No,No,None
Alexander,F.13 Neo,21,0,0,21,No,No,None
Alexander,Wavelength,18,0,0,18,No,No,None
Alexander,Syntax Error,21,0,0,21,No,No,None
Alexander,Colour Theory ,31,0,0,31,No,No,None
Alexander,Super Neo-Matic,15,0,0,15,No,No,None
Alexander,Defender Neo,20,0,0,20,No,No,None
Alexander,Quadrant Audio Mirror,21,0,0,21,No,No,None
Alexander,Super Radical Delay,24,0,0,24,No,No,None
Alexander,Oblivion Vintage Delay,24,0,0,24,No,No,None
Alexander,Radical Delay DX,19,0,0,19,No,No,None
Alexander,SKY 5000,24,0,0,24,No,No,None
Arturia,MatrixBrute,80,0,0,80,No,No,None
Arturia,MicroFreak,21,0,0,21,No,No,None
Arturia,MiniFreak,41,0,0,41,No,No,None
Arturia,polybrute,74,0,0,74,No,No,None
Atomic,Amplifire 12,59,0,0,59,No,No,None
Atomic,Amplifire 3,50,0,0,50,No,No,None
Atomic,Amplifire 6,50,0,0,50,No,No,None
Atomic,Amplifire,39,0,0,39,Yes,Yes,true
audiothingies,doctor_a,20,0,0,20,No,No,None
audiothingies,micromonsta,79,0,0,79,No,No,None
AVID,Eleven Rack,25,0,0,25,No,No,None
Beetronics,Seabee Harmochorus,24,0,0,24,No,No,None
Behringer,Deepmind 12,113,0,0,113,No,No,None
Behringer,Deepmind 12D,113,0,0,113,No,No,None
Behringer,neutron,2,0,0,2,No,No,None
Behringer,Pro-800,73,0,0,73,No,No,None
Behringer,td-3-mo,2,0,0,2,No,No,None
Behringer,ac112,8,0,0,8,No,No,None
Behringer,wing,58,0,0,58,No,No,None
Behringer,X-Air,62,0,0,62,No,No,None
Behringer,x32,66,0,0,66,No,No,None
Behringer,Deepmind 6,113,0,0,113,No,No,None
black_corporation,deckard's_dream_mk2,75,0,0,75,No,No,None
black_corporation,deckard's_dream,78,0,0,78,No,No,None
blackstar,amped_1,25,0,0,25,No,No,None
blackstar,amped_2,31,0,0,31,No,No,None
blackstar,amped_3,36,0,0,36,No,No,None
blackstar,silverlinedeluxe,52,0,0,52,No,No,None
BluGuitar,amp1,6,0,0,6,No,No,None
BluGuitar,Amp1 (Mercury & Iridium Edition),6,0,0,6,Yes,No,None
