Brand,Device,Parameter Type,Parameter Name,Value/MSB,LSB,Min,Max,Description
3 Degrees Audio,hue_stereo_multi_fx,CC,Parameter 1,1,,0,127,Controls the first effect parameter
3 Degrees Audio,hue_stereo_multi_fx,CC,Parameter 2,2,,0,127,Controls the second effect parameter
3 Degrees Audio,hue_stereo_multi_fx,CC,Parameter 3,3,,0,127,Controls the third effect parameter
3 Degrees Audio,hue_stereo_multi_fx,CC,Parameter 4,4,,0,127,Controls the fourth effect parameter
3 Degrees Audio,hue_stereo_multi_fx,CC,Parameter 5,5,,0,127,Controls the fifth effect parameter
3 Degrees Audio,hue_stereo_multi_fx,CC,Parameter 6,6,,0,127,Controls the sixth effect parameter
3 Degrees Audio,hue_stereo_multi_fx,CC,Parameter 7,7,,0,127,Controls the seventh effect parameter
3 Degrees Audio,hue_stereo_multi_fx,CC,Parameter 8,8,,0,127,Controls the eighth effect parameter
3 Degrees Audio,hue_stereo_multi_fx,CC,Parameter 9,9,,0,127,Controls the ninth effect parameter
3 Degrees Audio,hue_stereo_multi_fx,CC,Parameter 10,10,,0,127,Controls the tenth effect parameter
3 Degrees Audio,hue_stereo_multi_fx,CC,Parameter 11,11,,0,127,Controls the eleventh effect parameter
3 Degrees Audio,hue_stereo_multi_fx,CC,Parameter 12,12,,0,127,Controls the twelfth effect parameter
3 Degrees Audio,hue_stereo_multi_fx,CC,Parameter 13,13,,0,127,Controls the thirteenth effect parameter
3 Degrees Audio,hue_stereo_multi_fx,CC,Parameter 14,14,,0,127,Controls the fourteenth effect parameter
3 Degrees Audio,hue_stereo_multi_fx,CC,Parameter 15,15,,0,127,Controls the fifteenth effect parameter
3 Degrees Audio,hue_stereo_multi_fx,CC,Enable,0,,1,1,Enables the effect
3 Degrees Audio,hue_stereo_multi_fx,CC,Bypass,0,,0,0,Bypasses the effect
3 Degrees Audio,Hue Stereo Multi Effect Pedal,CC,Parameter 1,1,,0,127,Set Parameter 1
3 Degrees Audio,Hue Stereo Multi Effect Pedal,CC,Parameter 2,2,,0,127,Set Parameter 2
3 Degrees Audio,Hue Stereo Multi Effect Pedal,CC,Parameter 3,3,,0,127,Set Parameter 3
3 Degrees Audio,Hue Stereo Multi Effect Pedal,CC,Parameter 4,4,,0,127,Set Parameter 4
3 Degrees Audio,Hue Stereo Multi Effect Pedal,CC,Parameter 5,5,,0,127,Set Parameter 5
3 Degrees Audio,Hue Stereo Multi Effect Pedal,CC,Parameter 6,6,,0,127,Set Parameter 6
3 Degrees Audio,Hue Stereo Multi Effect Pedal,CC,Parameter 7,7,,0,127,Set Parameter 7
3 Degrees Audio,Hue Stereo Multi Effect Pedal,CC,Parameter 8,8,,0,127,Set Parameter 8
3 Degrees Audio,Hue Stereo Multi Effect Pedal,CC,Parameter 9,9,,0,127,Set Parameter 9
3 Degrees Audio,Hue Stereo Multi Effect Pedal,CC,Parameter 10,10,,0,127,Set Parameter 10
3 Degrees Audio,Hue Stereo Multi Effect Pedal,CC,Parameter 11,11,,0,127,Set Parameter 11
3 Degrees Audio,Hue Stereo Multi Effect Pedal,CC,Parameter 12,12,,0,127,Set Parameter 12
3 Degrees Audio,Hue Stereo Multi Effect Pedal,CC,Parameter 13,13,,0,127,Set Parameter 13
3 Degrees Audio,Hue Stereo Multi Effect Pedal,CC,Parameter 14,14,,0,127,Set Parameter 14
3 Degrees Audio,Hue Stereo Multi Effect Pedal,CC,Parameter 15,15,,0,127,Set Parameter 15
3 Degrees Audio,Hue Stereo Multi Effect Pedal,CC,Enable,0,,1,1,
3 Degrees Audio,Hue Stereo Multi Effect Pedal,CC,Bypass,0,,0,0,
art,sgx_2000/nitro/t2,CC,Left Expression Pedal,4,,0,127,Controls parameter assigned to left X15 expression pedal
art,sgx_2000/nitro/t2,CC,Right Expression Pedal,11,,0,127,Controls parameter assigned to right X15 expression pedal
art,sgx_2000/nitro/t2,CC,Exciter,70,,0,127,Controls the exciter effect module
art,sgx_2000/nitro/t2,CC,Compressor,71,,0,127,Controls the compressor effect module
art,sgx_2000/nitro/t2,CC,Distortion,72,,0,127,Controls the distortion effect module
art,sgx_2000/nitro/t2,CC,Equalizer,73,,0,127,Controls the equalizer effect module
art,sgx_2000/nitro/t2,CC,Expander/Noise Gate,74,,0,127,Controls the expander/noise gate effect module
art,sgx_2000/nitro/t2,CC,Reverb,75,,0,127,Controls the reverb effect module
art,sgx_2000/nitro/t2,CC,Delay,76,,0,127,Controls the delay effect module
art,sgx_2000/nitro/t2,CC,Pitch Transposer,77,,0,127,Controls the pitch transposer effect module
art,sgx_2000/nitro/t2,CC,Flange/Chorus,78,,0,127,Controls the flange/chorus effect module
